project_id,project_source,project_namespace,project_name,display_name,event_source,repository_count,first_created_at_date,last_updated_at_date,first_commit_date,last_commit_date,star_count,fork_count,developer_count,contributor_count,contributor_count_6_months,new_contributor_count_6_months,fulltime_developer_average_6_months,active_developer_count_6_months,commit_count_6_months,opened_pull_request_count_6_months,merged_pull_request_count_6_months,opened_issue_count_6_months,closed_issue_count_6_months,comment_count_6_months,release_count_6_months,time_to_first_response_days_average_6_months,time_to_merge_days_average_6_months,cluster
UsLiYpuh5exI0XENoG3FGM-UhRSf6Xbis8NvjvwMh5w=,OSS_DIRECTORY,oso,hypercerts,Hypercerts,GITHUB,21,2022-12-02 21:36:04.000000 UTC,2024-12-21 04:11:00.000000 UTC,738495,739240,107,45,11.0,34.0,10.0,5.0,0.1366120218579235,5.0,522.0,270.0,253.0,117.0,112.0,515.0,13.0,23.22346906565657,0.0,3
wdBmT3yweChtV4g4qcc1NN1QtfnmMPAuCVxoPkiAowY=,OSS_DIRECTORY,oso,ethstaker,EthStaker,GITHUB,15,2020-09-15 15:17:41.000000 UTC,2024-12-29 01:21:46.000000 UTC,737712,739249,919,485,12.0,278.0,64.0,46.0,1.9726775956284153,7.0,618.0,351.0,325.0,60.0,68.0,566.0,24.0,29.24021296296297,0.0,0
4IF5N43rh3j9S83bUBcfoWy_2I4qcP8UulcrMsuJX-o=,OSS_DIRECTORY,oso,tor-project,The Tor Project,GITHUB,38,2013-02-07 04:31:02.000000 UTC,2024-12-28 14:23:17.000000 UTC,736807,739243,6693,1972,13.0,734.0,12.0,10.0,0.7540983606557377,2.0,387.0,2.0,0.0,10.0,5.0,19.0,0.0,837.4207175925928,0.0,0
zryDqkEcTg82XnQV40hYa8tDN35bPYvPiguWM5sEqM0=,OSS_DIRECTORY,oso,blockful-io,blockful-io,GITHUB,73,2022-07-26 01:41:35.000000 UTC,2024-12-24 23:38:03.000000 UTC,738362,739244,104,124,13.0,30.0,13.0,3.0,0.3551912568306011,10.0,1567.0,318.0,299.0,435.0,291.0,1029.0,0.0,9.509425636574077,0.0,3
cNWIkYYNllGaAe7Xslebf1OTgqitVGPpSfz5pD2B8lY=,OSS_DIRECTORY,oso,pairwise-general-magic,Pairwise,GITHUB,6,2022-11-08 19:29:55.000000 UTC,2024-11-10 10:52:15.000000 UTC,738484,739200,49,1,13.0,24.0,15.0,6.0,0.1530054644808743,5.0,194.0,104.0,102.0,46.0,57.0,298.0,0.0,6.368468915343916,0.0,3
JFq-iwGwIQrnVt0T7CwaVfsefjXknPPNfe4cABhxzyA=,OSS_DIRECTORY,oso,rndao,RnDAO,GITHUB,13,2022-07-04 12:32:03.000000 UTC,2024-12-16 15:44:32.000000 UTC,738340,739231,8,11,13.0,20.0,1.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
YWx14a4ELnaE2V58GdSLn7sVQxwvFBrP7GTQuXsCUd4=,OSS_DIRECTORY,oso,clrfund,clr.fund,GITHUB,21,2020-02-15 06:21:31.000000 UTC,2024-12-21 04:36:16.000000 UTC,737471,739099,253,120,13.0,35.0,1.0,0.0,0.0,1.0,22.0,6.0,6.0,0.0,0.0,12.0,0.0,807.0298611111112,0.0,0
-cqm4kiQPXiAI9GserwK_Jf2AF05Ygc5Mcmf6S9igjk=,OSS_DIRECTORY,oso,web3,web3.js,GITHUB,11,2014-09-30 20:50:37.000000 UTC,2024-12-28 18:14:15.000000 UTC,737909,739231,19517,5056,13.0,2377.0,85.0,69.0,0.1693989071038251,8.0,157.0,200.0,128.0,112.0,147.0,1038.0,13.0,40.679046574770254,0.0,1
FqJlC8IuZE2E3eTvQdMA4uG39qNxQSPSgw79bRli5Hs=,OSS_DIRECTORY,oso,shutter-network,Shutter Network,GITHUB,40,2020-08-08 15:29:48.000000 UTC,2024-12-27 23:30:24.000000 UTC,737892,739246,118,45,15.0,27.0,11.0,4.0,0.1693989071038251,7.0,620.0,166.0,165.0,140.0,96.0,343.0,2.0,12.50925925925926,0.0,3
8uJO7UNZda7b68AlyerXGkdWZfPsS8_DcYNhtk4afbs=,OSS_DIRECTORY,oso,brightid,BrightID,GITHUB,48,2017-09-13 16:53:24.000000 UTC,2024-12-14 20:27:08.000000 UTC,736646,739229,478,141,16.0,85.0,3.0,0.0,0.0,2.0,8.0,2.0,1.0,0.0,0.0,2.0,1.0,214.39097222222225,0.0,0
64qp1ybgolFxPB47LJA0p7BGYKekaqGS8p3yqqvkL3o=,OSS_DIRECTORY,oso,rotki,rotki,GITHUB,29,2018-03-05 11:26:09.000000 UTC,2024-12-28 07:26:03.000000 UTC,737043,739247,3008,660,16.0,536.0,54.0,32.0,3.530054644808743,8.0,1802.0,1092.0,1053.0,119.0,133.0,3364.0,61.0,33.32072368421051,0.0,0
9FPohrEjU-h_5BTmL-HBlyLH7f9rLprx2zqBddNDtn0=,OSS_DIRECTORY,oso,vyperlang,Vyper,GITHUB,30,2016-11-11 08:56:41.000000 UTC,2024-12-29 00:24:53.000000 UTC,736280,739248,5388,931,17.0,494.0,47.0,25.0,0.819672131147541,6.0,432.0,258.0,196.0,157.0,67.0,1541.0,33.0,25.45125506365741,0.0,0
bQiTKGQ-syTnuXT5qWWin_CyzvIy-etYkxpMzHGiHo4=,OSS_DIRECTORY,oso,0x-boring-security,Boring Security,GITHUB,4,2022-03-06 20:17:09.000000 UTC,2024-07-20 23:11:30.000000 UTC,738925,738967,3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
RVOuV0FCXB_YUCOIr_cb18IKzJwy_4K5-Ge-Ns4EYnw=,OSS_DIRECTORY,oso,onion-dao,Onion DAO,GITHUB,3,2022-03-11 10:02:55.000000 UTC,2024-11-20 23:45:30.000000 UTC,738225,739084,12,8,1.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
50Zkidly04WdD8YGpVEbIq0WwTuhI_yuJcWihKUQNo8=,OSS_DIRECTORY,oso,abundanceprotocol,Abundance Protocol,GITHUB,3,2022-05-31 22:52:26.000000 UTC,2024-11-28 18:06:28.000000 UTC,738307,739218,4,3,1.0,1.0,1.0,0.0,0.0,1.0,158.0,8.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,3
